AverageTemperature,City,Year,Month
26.916,Acapulco,1891,8
26.875,Acapulco,1891,9
25.473,Acapulco,1891,10
26.286,Acapulco,1891,11
25.724,Acapulco,1891,12
24.348,Acapulco,1892,1
24.739,Acapulco,1892,2
23.479,Acapulco,1892,3
24.878,Acapulco,1892,4
26.368,Acapulco,1892,5
27.499,Acapulco,1892,6
27.424,Acapulco,1892,7
27.099,Acapulco,1892,8
26.602,Acapulco,1892,9
26.252,Acapulco,1892,10
25.683,Acapulco,1892,11
25.426,Acapulco,1892,12
23.701,Acapulco,1893,1
24.51,Acapulco,1893,2
23.416,Acapulco,1893,3
25.245,Acapulco,1893,4
25.63,Acapulco,1893,5
26.456,Acapulco,1893,6
26.435,Acapulco,1893,7
26.984,Acapulco,1893,8
26.891,Acapulco,1893,9
26.08,Acapulco,1893,10
26.429,Acapulco,1893,11
24.641,Acapulco,1893,12
24.97,Acapulco,1894,1
24.326,Acapulco,1894,2
23.387,Acapulco,1894,3
24.423,Acapulco,1894,4
26.104,Acapulco,1894,5
27.336,Acapulco,1894,6
27.078,Acapulco,1894,7
27.137,Acapulco,1894,8
27.173,Acapulco,1894,9
26.384,Acapulco,1894,10
25.543,Acapulco,1894,11
25.106,Acapulco,1894,12
24.208,Acapulco,1895,1
23.805,Acapulco,1895,2
24.088,Acapulco,1895,3
24.717,Acapulco,1895,4
26.022,Acapulco,1895,5
27.211,Acapulco,1895,6
27.233,Acapulco,1895,7
27.419,Acapulco,1895,8
27.185,Acapulco,1895,9
26.31,Acapulco,1895,10
27.488,Acapulco,1895,11
25.513,Acapulco,1895,12
25.051,Acapulco,1896,1
23.616,Acapulco,1896,2
24.594,Acapulco,1896,3
24.977,Acapulco,1896,4
26.819,Acapulco,1896,5
27.78,Acapulco,1896,6
27.903,Acapulco,1896,7
27.623,Acapulco,1896,8
27.368,Acapulco,1896,9
27.594,Acapulco,1896,10
27.562,Acapulco,1896,11
24.988,Acapulco,1896,12
25.286,Acapulco,1897,1
25.243,Acapulco,1897,2
25.44,Acapulco,1897,3
25.148,Acapulco,1897,4
26.239,Acapulco,1897,5
27.361,Acapulco,1897,6
27.235,Acapulco,1897,7
27.717,Acapulco,1897,8
26.403,Acapulco,1897,9
27.289,Acapulco,1897,10
27.263,Acapulco,1897,11
26.057,Acapulco,1897,12
24.923,Acapulco,1898,1
23.461,Acapulco,1898,2
24.421,Acapulco,1898,3
23.973,Acapulco,1898,4
26.022,Acapulco,1898,5
26.67,Acapulco,1898,6
26.719,Acapulco,1898,7
26.745,Acapulco,1898,8
26.704,Acapulco,1898,9
25.993,Acapulco,1898,10
26.667,Acapulco,1898,11
25.27,Acapulco,1898,12
24.177,Acapulco,1899,1
23.551,Acapulco,1899,2
24.243,Acapulco,1899,3
24.057,Acapulco,1899,4
26.299,Acapulco,1899,5
26.009,Acapulco,1899,6
27.182,Acapulco,1899,7
27.221,Acapulco,1899,8
26.575,Acapulco,1899,9
26.816,Acapulco,1899,10
26.255,Acapulco,1899,11
25.393,Acapulco,1899,12
24.917,Acapulco,1900,1
24.924,Acapulco,1900,2
24.182,Acapulco,1900,3
24.415,Acapulco,1900,4
25.975,Acapulco,1900,5
28.106,Acapulco,1900,6
27.112,Acapulco,1900,7
27.189,Acapulco,1900,8
27.148,Acapulco,1900,9
27.268,Acapulco,1900,10
26.736,Acapulco,1900,11
24.997,Acapulco,1900,12
25.005,Acapulco,1901,1
24.252,Acapulco,1901,2
24.003,Acapulco,1901,3
24.05,Acapulco,1901,4
26.354,Acapulco,1901,5
27.916,Acapulco,1901,6
27.227,Acapulco,1901,7
27.173,Acapulco,1901,8
27.058,Acapulco,1901,9
26.288,Acapulco,1901,10
26.113,Acapulco,1901,11
24.676,Acapulco,1901,12
24.23,Acapulco,1902,1
24.24,Acapulco,1902,2
23.773,Acapulco,1902,3
25.105,Acapulco,1902,4
26.235,Acapulco,1902,5
27.843,Acapulco,1902,6
26.779,Acapulco,1902,7
27.449,Acapulco,1902,8
27.081,Acapulco,1902,9
26.471,Acapulco,1902,10
26.708,Acapulco,1902,11
25.302,Acapulco,1902,12
24.218,Acapulco,1903,1
24.813,Acapulco,1903,2
24.047,Acapulco,1903,3
25.069,Acapulco,1903,4
26.154,Acapulco,1903,5
26.542,Acapulco,1903,6
27.167,Acapulco,1903,7
26.565,Acapulco,1903,8
26.66,Acapulco,1903,9
25.84,Acapulco,1903,10
25.888,Acapulco,1903,11
25.186,Acapulco,1903,12
24.57,Acapulco,1904,1
23.947,Acapulco,1904,2
23.625,Acapulco,1904,3
23.863,Acapulco,1904,4
25.04,Acapulco,1904,5
26.441,Acapulco,1904,6
26.299,Acapulco,1904,7
26.266,Acapulco,1904,8
26.575,Acapulco,1904,9
26.26,Acapulco,1904,10
25.951,Acapulco,1904,11
25.182,Acapulco,1904,12
23.952,Acapulco,1905,1
24.249,Acapulco,1905,2
22.25,Acapulco,1905,3
24.04,Acapulco,1905,4
27.107,Acapulco,1905,5
27.062,Acapulco,1905,6
27.125,Acapulco,1905,7
27.277,Acapulco,1905,8
26.683,Acapulco,1905,9
27.66,Acapulco,1905,10
28.003,Acapulco,1905,11
24.526,Acapulco,1905,12
23.477,Acapulco,1906,1
22.952,Acapulco,1906,2
24.108,Acapulco,1906,3
24.296,Acapulco,1906,4
26.515,Acapulco,1906,5
27.273,Acapulco,1906,6
27.605,Acapulco,1906,7
26.922,Acapulco,1906,8
26.897,Acapulco,1906,9
26.885,Acapulco,1906,10
26.063,Acapulco,1906,11
24.83,Acapulco,1906,12
24.796,Acapulco,1907,1
23.752,Acapulco,1907,2
23.953,Acapulco,1907,3
24.242,Acapulco,1907,4
26.005,Acapulco,1907,5
27.096,Acapulco,1907,6
27.031,Acapulco,1907,7
26.909,Acapulco,1907,8
26.754,Acapulco,1907,9
27.047,Acapulco,1907,10
27.066,Acapulco,1907,11
24.958,Acapulco,1907,12
25.053,Acapulco,1908,1
24.904,Acapulco,1908,2
25.063,Acapulco,1908,3
24.796,Acapulco,1908,4
25.628,Acapulco,1908,5
27.311,Acapulco,1908,6
26.575,Acapulco,1908,7
27.1,Acapulco,1908,8
26.771,Acapulco,1908,9
26.081,Acapulco,1908,10
25.882,Acapulco,1908,11
25.996,Acapulco,1908,12
24.291,Acapulco,1909,1
24.271,Acapulco,1909,2
25.138,Acapulco,1909,3
24.853,Acapulco,1909,4
27.053,Acapulco,1909,5
27.387,Acapulco,1909,6
27.775,Acapulco,1909,7
27.19,Acapulco,1909,8
26.056,Acapulco,1909,9
26.651,Acapulco,1909,10
26.742,Acapulco,1909,11
25.616,Acapulco,1909,12
